EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents
ep-29370,CCCC1COCO1,1.0292091562161896,7.600138434,-8.10681433,6.9106
ep-29372,CC1CC(C)OCO1,0.9050552290499564,7.481224703,-7.938375887,73.8082
ep-29468,COC1OCOC1C,1.1413505719808281,7.614016238,-8.276885455,3.4269
ep-29469,COCC1COCO1,1.0504556590984737,7.659731356,-8.006948565,10.7054
ep-30707,COC1CCCC1C,0.9364049799520286,8.547366572,-7.703813792,7.4503
ep-30716,COC1COCC1C,0.600120752371166,8.025996531,-7.703541678,6.4653
ep-31021,COC1CCC(C)C1,0.9960404632993876,8.320695776,-7.692657126,3.2817
ep-31023,COC1CCCCC1,0.9762698299645134,8.232803019,-7.676874526,3.3731
ep-31032,COC1CCOCC1,0.8998041251531962,8.118243109,-7.653200625,14.0023
ep-31074,COC1CCCOC1,1.0655291742197681,8.231170336,-7.846401423,2.7074
ep-31460,COC1COCOC1,0.6768247851966026,7.833612074,-7.945995074,61.1772
ep-31759,COC1(C)OCCO1,0.9943379523087543,7.471156493,-8.08177986,9.4661
ep-32369,COC1COC(C)O1,0.9632383426338744,7.707895499,-8.198788794,43.6547
ep-32371,CC1OCOC(C)O1,1.0274622116463212,7.729664603,-8.399336665,24.1236
ep-32586,CC(C)C1OCCO1,1.0878671171146324,7.672792819,-8.00586011,2.2245
ep-32626,COC1OCCC1C,1.0802664877241486,7.92422597,-7.885313696,2.5666
ep-32628,COC1CCCCO1,1.0379787757755954,7.953886374,-7.82544866,3.8288
ep-32631,CCC1OCCCO1,0.9064640345349948,7.802591101,-7.916606783,46.0924
ep-32634,CCOC1CCCO1,0.9475455256625679,7.956879626,-7.861095568,10.5725
ep-32688,CCCC1OCCO1,1.0263603513502981,7.851843699,-8.064092463,5.1282
ep-32754,COC1COCCO1,0.6421752296935115,7.705990702,-7.898103045,3.067
ep-32758,CCOC1COCO1,1.0772018854195449,7.643404528,-8.212666598,8.5464
ep-32795,COCC1OCCO1,0.46767241959512273,7.771298014,-7.920960604,8.5705
ep-32943,COC1CC(C)CO1,1.0698510922038644,8.049670432,-7.885857924,2.7327
ep-32945,CC1COC(C)OC1,0.9180012591944343,7.970213202,-7.959056536,40.5777
ep-33204,COC1CCOCO1,1.0000717946269373,7.501633238,-8.1555227,9.4204
ep-33205,CCC1OCOCO1,1.0622909062055026,7.491837142,-8.148175627,9.9298
ep-37630,CC1(C)CCCOC1,0.9676818094488218,8.353349432,-7.687759078,4.2059
ep-37645,CC1COCC1(C)C,0.8990186601685297,7.975655478,-7.593879817,5.6536
ep-37646,CC1COCC(C)C1,0.9224037862799491,8.308450655,-7.656465991,6.1379
ep-37676,CCC1(C)CCOC1,0.8879564679387117,7.98082564,-7.597145182,7.2314
ep-37677,CC1CCOCC1C,0.9045017555409938,8.220830012,-7.587893313,7.4609
ep-37679,CCC1CCCOC1,0.9138883688505747,8.306817973,-7.647758349,7.83
ep-37917,CCC1COCC1C,0.885063560871306,8.045588725,-7.569661688,6.7136
ep-38065,CC(C)C1CCOC1,0.8944896146810315,8.061371325,-7.581634696,5.894
ep-38067,CC1(C)CCOCC1,0.9622769959190409,8.230898222,-7.585716403,3.1868
ep-38085,CCCC1CCOC1,0.900960844632653,8.016744662,-7.590614451,5.88
ep-38087,CCC1CCOCC1,0.9236920352943735,8.238517409,-7.643404528,6.4819
ep-38129,COCC1CCOC1,0.3653001566099148,8.051575228,-7.604764369,12.2804
ep-38353,COC1OCCCO1,0.6155222966930571,7.559593478,-8.166679366,13.957
ep-38391,CCOC1OCCO1,0.7128306900202395,7.426257716,-8.152257334,4.4369
ep-38602,CC1(C)COCOC1,0.9657920362249638,7.897830931,-8.064092463,19.2951
ep-38615,CCC1COCOC1,0.9740868701841615,7.84830622,-8.154162131,18.2948
ep-40148,COCC1CCCC1,0.9464042575684809,8.394982844,-7.744630862,5.1956
ep-40892,COC1OCOCO1,0.8112791591953042,7.064890589,-8.35171675,12.0325
ep-134269,CC(C)(C)OC(C)(C)C,0.8222573731107448,8.260014399,-7.392515605,5.9461
ep-115813,CCC(C)(C)OC(C)C,0.8125247556865253,8.206135867,-7.433332675,8.7283
ep-134270,CCC(C)OC(C)(C)C,0.8313757152674445,8.244231799,-7.449931616,6.4189
ep-115977,COC(C)OC(C)(C)C,0.5767450819648574,7.805856467,-7.867898413,4.3651
ep-101420,CCOC(C)(C)C(C)C,0.9187211180510912,8.187904242,-7.553606974,2.4603
ep-71552,CCOC(C)(CC)CC,0.893766800561723,8.179468714,-7.553606974,3.1131
ep-115822,CCCOC(C)(C)CC,0.8850356841292552,8.06599726,-7.525579253,5.9046
ep-115816,CCCC(C)(C)OCC,0.874977889850806,7.974839137,-7.459999827,6.6055
ep-85371,CCOC(C)(C)COC,0.8545545125251115,8.11116815,-7.598777865,20.5602
ep-134277,CC(C)COC(C)(C)C,0.8554494170539108,8.120692133,-7.528028277,9.5157
ep-134280,CCCCOC(C)(C)C,0.8843294611574262,8.000962061,-7.51605527,5.2342
ep-86642,COCCOC(C)(C)C,0.9308169628830071,7.919327921,-7.686398509,9.2262
ep-115835,CCC(C)(C)OCOC,0.5928644898008502,7.374556094,-7.819190043,16.3716
ep-134509,CCOCOC(C)(C)C,0.5248445528810843,7.49455828,-7.777556632,5.3273
ep-101143,COC(C)(C)C(C)(C)C,0.9424676226923075,7.778372973,-7.545987788,2.4375
ep-71309,CCC(C)(OC)C(C)C,0.8899709314041232,7.738916472,-7.537280146,5.1269
ep-101261,CCC(C)C(C)(C)OC,0.8550381563754115,7.90272898,-7.52394657,3.0974
ep-84610,COC(C)C(C)(C)OC,0.1935246675945006,8.110623923,-7.551974291,6.5899
ep-70711,CCC(CC)(CC)OC,0.8913852531675581,7.882048331,-7.570750144,2.0566
ep-70758,CCCC(C)(CC)OC,0.9432860087093052,7.894565566,-7.58626063,2.2718
ep-84998,CCC(C)(COC)OC,0.265826274946972,7.929396132,-7.55687234,8.7237
ep-115858,COC(C)(C)CC(C)C,0.8421295343944264,7.934022067,-7.555239657,3.983
ep-115863,CCCCC(C)(C)OC,0.9189462912194675,7.949532553,-7.573743395,3.9368
ep-115871,COCCC(C)(C)OC,0.9006668227834831,7.869258982,-7.622723879,7.9943
ep-84930,CCOCC(C)(C)OC,0.33176063090621977,8.065725146,-7.554967543,4.6737
ep-91396,COC(C)(C)OC(C)C,1.0893721646464034,8.046949294,-7.814291995,1.3193
ep-91355,CCOC(C)(CC)OC,0.36046815689146405,7.905994345,-7.831707278,1.2254
ep-91400,CCCOC(C)(C)OC,0.3973780971465297,7.735651106,-7.805584353,1.4004
ep-91405,CCOC(C)(C)OCC,0.36601547422465264,7.910076052,-7.783815249,1.4173
ep-91439,COCOC(C)(C)OC,0.569512889740621,7.563947299,-7.943273936,3.0947
ep-91517,COC(C)(OC)C(C)C,0.22944685221415018,8.034704173,-7.805856467,1.583
ep-71019,CCC(CC)(OC)OC,0.6146090259552026,7.754971186,-7.866537844,1.2858
ep-91520,CCCC(C)(OC)OC,1.104982919998973,8.016472548,-7.919600035,1.4605
ep-85105,COCC(C)(OC)OC,0.04358496194835171,8.064636691,-7.798781508,2.5906
ep-101422,CC(C)OC(C)C(C)C,0.8661076220379085,8.369404147,-7.543810877,2.8727
ep-71554,CCC(CC)OC(C)C,0.9066616393258445,8.423282679,-7.537824374,2.5282
ep-134273,CCC(C)OC(C)CC,0.8453244035441064,8.420561541,-7.494286166,7.0613
ep-125763,CCCC(C)OC(C)C,0.83960803144378,8.418928858,-7.511157221,13.0621
ep-85374,COCC(C)OC(C)C,0.9556787449702882,8.263551878,-7.679051436,11.2077
ep-92275,CCC(C)OC(C)OC,0.6685712079230444,8.067085715,-7.837421668,8.0293
ep-91877,CCC(OC)OC(C)C,0.6153713946092241,8.113889288,-7.851843699,5.9149
ep-134547,CCOC(C)OC(C)C,0.6421684405775963,8.081507746,-7.814836222,230.9302
ep-101151,CCOC(C)C(C)(C)C,0.8952182939920318,8.288586348,-7.562314616,3.765
ep-71324,CCOC(CC)C(C)C,0.9280856392244898,8.341648539,-7.616465262,3.9984
ep-101426,CCCOC(C)C(C)C,0.9225053841182802,8.345458132,-7.568845347,3.5306
ep-101268,CCOC(C)C(C)CC,0.9393958571076501,8.365594553,-7.618642172,3.0692
ep-84524,CCOC(C)C(C)OC,0.9428967487790473,8.308994883,-7.704085906,7.8157
